Aethopyga pulcherrima,6.2,B
Aethopyga saturata,5.3,B
Aethopyga shelleyi,4.0,B
Aethopyga siparaja,6.7,B
Afrixalus aureus,2.11794372182,A
Afrixalus clarkei,1.71374882568,A
Afrixalus crotalus,1.84447283333,A
Afrixalus delicatus,2.26060370146,A
Afrixalus dorsalis,4.07924341918,A
Afrixalus enseticola,2.40715893799,A
Afrixalus equatorialis,4.07924341918,A
Afrixalus fornasini,4.45713798037,A
Afrixalus fulvovittatus,1.25,A
Afrixalus knysnae,2.11794372182,A
Afrixalus lacteus,2.55757097076,A
Afrixalus laevis,1.9792193179,A
Afrixalus leucostictus,3.71554365566,A
Afrixalus morerei,1.71374882568,A
Afrixalus nigeriensis,3.53908218703,A
Afrixalus orophilus,2.26060370146,A
Afrixalus osorioi,3.53908218703,A
Afrixalus paradorsalis,3.53908218703,A
Afrixalus quadrivittatus,3.03158812379,A
Afrixalus spinifrons,1.9792193179,A
Afrixalus stuhlmanni,2.26060370146,A
Afrixalus uluguruensis,2.86982000359,A
Afrixalus upembae,2.40715893799,A
Afrixalus vibekensis,2.26060370146,A
Afrixalus vittiger,2.40715893799,A
Afrixalus weidholzi,1.9792193179,A
Afrixalus wittei,3.19707505812,A
Afroablepharus africanus,2.0,R
Afroablepharus annobonensis,1.0,R
Afroablepharus duruarum,2.0,R
Afroablepharus maculicollis,2.0,R
Afroablepharus seydeli,1.0,R
Afroablepharus wahlbergi,5.0,R
Afroablepharus wilsoni,0.0,R
Afroedura africana,6.0,R
Afroedura amatolica,5.0,R
Afroedura bogerti,3.0,R
Afroedura broadleyi,4.0,R
Afroedura granitica,4.0,R
Afroedura haackei,3.0,R
Afroedura halli,6.0,R
Afroedura hawequensis,11.0,R
Afroedura karroica,6.0,R
Afroedura langi,2.0,R
Afroedura leoloensis,2.0,R
Afroedura loveridgei,4.0,R
Afroedura major,9.0,R
Afroedura maripi,5.0,R
Afroedura marleyi,1.0,R
Afroedura multiporis,6.0,R
Afroedura namaquensis,4.0,R
Afroedura nivaria,6.0,R
Afroedura pienaari,3.0,R
Afroedura pondolia,4.0,R
Afroedura pongola,2.0,R
Afroedura rondavelica,4.0,R
Afroedura rupestris,5.0,R
Afroedura tembulica,4.0,R
Afroedura tirasensis,4.0,R
Afroedura transvaalica,8.0,R
Afroedura waterbergensis,2.0,R
Afrogecko ansorgii,2.0,R
Afrogecko porphyreus,3.0,R
Afronatrix anoscopus,110.0,R
Afropavo congensis,1273.65,B
Afrotyphlops angeli,28.0,R
Afrotyphlops angolensis,252.0,R
Afrotyphlops anomalus,120.0,R
Afrotyphlops bibronii,80.0,R
Afrotyphlops blanfordii,22.0,R
Afrotyphlops brevis,434.0,R
Afrotyphlops congestus,434.0,R
Afrotyphlops decorosus,94.0,R
Afrotyphlops elegans,47.0,R
Afrotyphlops fornasinii,2.0,R
Afrotyphlops gierrai,78.0,R
